ID,ZIP,Latitude,Longitude,City,State,County,Zip,Country,Congressional District
8162,63385,38.79067,-90.852228,Wentzville,MO,St. Charles County,63385,US,MO3
8163,77532,29.91462,-95.05908,Crosby,TX,Harris County,77532,US,TX2
8164,93630,36.72356,-120.05988,Kerman,CA,Fresno County,93630,US,CA13
8165,50219,41.40805,-92.91631,Pella,IA,Marion County,50219,US,IA1
8166,60108,41.950022,-88.091865,Bloomingdale,IL,Dupage County,60108,US,IL8
8167,16601,40.489433,-78.349874,Altoona,PA,Blair County,16601,US,PA13
8168,61523,40.92226,-89.4862,Chillicothe,IL,Peoria County,61523,US,IL16
8169,93205,35.569608,-118.487681,Bodfish,CA,Kern County,93205,US,CA20
8170,76261,33.820163,-97.941476,Ringgold,TX,Montague County,76261,US,TX13
8171,79336,33.606901,-102.345939,Levelland,TX,Hockley County,79336,US,TX19
8172,37745,36.245521,-82.82378,Greeneville,TN,Greene County,37745,US,TN1
8173,95969,39.654279,-121.707265,Paradise,CA,Butte County,95969,US,CA1
8174,27020,36.119371,-80.80111,Hamptonville,NC,Yadkin County,27020,US,NC5
8175,66409,38.927847,-95.584708,Berryton,KS,Shawnee County,66409,US,KS2
8176,49288,41.743114,-84.447488,Waldron,MI,Hillsdale County,49288,US,MI5
8177,70806,30.45104,-91.138455,Baton Rouge,LA,East Baton Rouge Parish,70806,US,LA6
8178,30904,33.478686,-82.015988,Augusta,GA,Richmond County,30904,US,GA12
8179,62673,40.100737,-89.966028,Oakford,IL,Menard County,62673,US,IL15
8180,80007,39.863369,-105.172429,Arvada,CO,Jefferson County,80007,US,CO7
8181,67131,37.441278,-97.005906,Rock,KS,Cowley County,67131,US,KS4
8182,88353,34.600841,-105.205826,Vaughn,NM,Guadalupe County,88353,US,NM1
8183,16038,41.13673,-80.00922,Harrisville,PA,Butler County,16038,US,PA16
8184,46544,41.615082,-86.14782,Mishawaka,IN,St. Joseph County,46544,US,IN2
8185,55732,47.662641,-92.228145,Embarrass,MN,St. Louis County,55732,US,MN8
8186,76261,33.820163,-97.941476,Ringgold,TX,Montague County,76261,US,TX13
8187,96080,40.142907,-122.340888,Red Bluff,CA,Tehama County,96080,US,CA1
8188,93522,36.2688,-117.589,Darwin,CA,Inyo County,93522,US,CA3
8189,33556,28.193901,-82.591764,Odessa,FL,Pasco County,33556,US,FL14
8190,65810,37.122249,-93.31318,Springfield,MO,Greene County,65810,US,MO7
8191,27332,35.38099,-79.108913,Sanford,NC,Harnett County,27332,US,NC9
8192,42754,37.460336,-86.324894,Leitchfield,KY,Grayson County,42754,US,KY2
8193,23851,36.682635,-76.942233,Franklin,VA,Franklin City,23851,US,VA2
8194,39354,32.855983,-88.827847,Preston,MS,Kemper County,39354,US,MS3
8195,70520,30.31714,-92.04901,Carencro,LA,Lafayette Parish,70520,US,LA3
8196,70127,30.031251,-89.975819,New Orleans,LA,Orleans Parish,70127,US,LA2
8197,6483,41.39676,-73.07594,Seymour,CT,Naugatuck Valley Planning Region,6483,US,CT3
8198,69138,40.945256,-100.129125,Gothenburg,NE,Dawson County,69138,US,NE3
8199,46383,41.454731,-87.065565,Valparaiso,IN,Porter County,46383,US,IN1
8200,33801,28.035908,-81.899669,Lakeland,FL,Polk County,33801,US,FL18
8201,49344,42.612772,-85.612828,Shelbyville,MI,Allegan County,49344,US,MI4
8202,97532,42.51734,-123.41979,Merlin,OR,Josephine County,97532,US,OR2
8203,64012,38.784041,-94.532397,Belton,MO,Cass County,64012,US,MO4
8204,77611,30.019163,-93.832632,Bridge City,TX,Orange County,77611,US,TX14
8205,31738,30.976287,-83.871284,Coolidge,GA,Thomas County,31738,US,GA2
8206,1772,42.296842,-71.533229,Southborough,MA,Worcester County,1772,US,MA2
8207,74848,35.087498,-96.387256,Holdenville,OK,Hughes County,74848,US,OK2
8208,79072,34.169757,-101.73385,Plainview,TX,Hale County,79072,US,TX19
8209,43569,41.35002,-83.796033,Weston,OH,Wood County,43569,US,OH5
8210,92536,33.519176,-116.802625,Aguanga,CA,Riverside County,92536,US,CA48
8211,16635,40.42341,-78.4339,Duncansville,PA,Blair County,16635,US,PA13
8212,64154,39.278393,-94.641184,Kansas City,MO,Platte County,64154,US,MO6
8213,4048,43.661222,-70.83448,Limerick,ME,York County,4048,US,ME1
8214,77377,30.061727,-95.681504,Tomball,TX,Harris County,77377,US,TX38
8215,35954,34.051848,-86.061397,Attalla,AL,Etowah County,35954,US,AL4
8216,34446,28.7508,-82.513889,Homosassa,FL,Citrus County,34446,US,FL12
8217,94579,37.688518,-122.147425,San Leandro,CA,Alameda County,94579,US,CA12
8218,99301,46.42066,-118.899447,Pasco,WA,Franklin County,99301,US,WA5
8219,97232,45.52369,-122.642655,Portland,OR,Multnomah County,97232,US,OR1
8220,30102,34.07068,-84.589406,Acworth,GA,Cobb County,30102,US,GA11
8221,15044,40.63007,-79.9695,Gibsonia,PA,Allegheny County,15044,US,PA17
8222,61312,41.43043,-89.240006,Arlington,IL,Bureau County,61312,US,IL14
8223,93262,36.5755,-118.56343,Sequoia National Park,CA,Tulare County,93262,US,CA20
8224,30467,32.743851,-81.628687,Sylvania,GA,Screven County,30467,US,GA12
8225,30102,34.07068,-84.589406,Acworth,GA,Cobb County,30102,US,GA11
8226,39730,33.847638,-88.514694,Aberdeen,MS,Monroe County,39730,US,MS1
8227,38618,34.69018,-89.962513,Coldwater,MS,Tate County,38618,US,MS1
8228,86040,36.91472,-111.45583,Page,AZ,Coconino County,86040,US,AZ2
8229,30215,33.394307,-84.473778,Fayetteville,GA,Fayette County,30215,US,GA3
8230,86040,36.91472,-111.45583,Page,AZ,Coconino County,86040,US,AZ2
